,num,ssim_score,ssim_array
0,50,0.9996388752315143,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [1.         0.9999995  0.99999946 ... 0.99976975 0.9997689  0.99977005]
 [1.         0.9999995  0.99999946 ... 0.999758   0.99975675 0.999758  ]
 [1.         0.9999995  0.99999946 ... 0.99975455 0.99975324 0.9997544 ]]"
0,51,0.999982772911107,"[[1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 ...
 [0.9999996 0.9999981 0.9999976 ... 0.999997  0.9999969 0.9999969]
 [0.9999996 0.9999981 0.9999976 ... 0.9999969 0.9999969 0.9999969]
 [0.9999996 0.9999981 0.9999976 ... 0.9999969 0.9999969 0.9999969]]"
0,52,0.9988006194759113,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [0.9999992  0.9999962  0.9999953  ... 0.99952835 0.999546   0.9995555 ]
 [0.9999991  0.9999961  0.9999952  ... 0.99950564 0.99952364 0.99953365]
 [0.9999991  0.9999961  0.9999952  ... 0.9994947  0.9995129  0.9995228 ]]"
0,53,0.9336325764575656,"[[0.99999315 0.99999315 0.9999934  ... 0.9998896  0.99988616 0.9998859 ]
 [0.99999315 0.9999932  0.9999934  ... 0.99988955 0.9998861  0.99988604]
 [0.99999344 0.99999344 0.9999937  ... 0.99989176 0.9998886  0.9998885 ]
 ...
 [0.9999985  0.99999505 0.9999942  ... 0.99999774 0.99999785 0.999998  ]
 [0.9999985  0.99999505 0.9999942  ... 0.99999774 0.9999978  0.99999785]
 [0.9999985  0.99999505 0.9999942  ... 0.9999976  0.9999978  0.99999785]]"
0,54,0.9950842970579169,"[[0.99999654 0.99999654 0.9999968  ... 1.         1.         1.        ]
 [0.99999654 0.99999654 0.9999968  ... 1.         1.         1.        ]
 [0.9999966  0.9999966  0.9999968  ... 1.         1.         1.        ]
 ...
 [0.9999988  0.9999949  0.9999936  ... 0.9999901  0.99998987 0.99998987]
 [0.99999875 0.9999948  0.9999936  ... 0.99998987 0.99998975 0.99998975]
 [0.99999875 0.9999948  0.9999936  ... 0.99998987 0.99998975 0.99998975]]"
0,55,0.9471405342160687,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,56,0.9994796914945762,"[[0.999998   0.99999803 0.9999981  ... 1.         1.         1.        ]
 [0.999998   0.999998   0.9999981  ... 1.         1.         1.        ]
 [0.99999803 0.99999803 0.9999982  ... 1.         1.         1.        ]
 ...
 [0.9999988  0.9999949  0.9999936  ... 0.99952835 0.999546   0.9995555 ]
 [0.99999875 0.9999948  0.9999936  ... 0.99950564 0.99952364 0.99953365]
 [0.99999875 0.9999948  0.9999936  ... 0.9994947  0.9995129  0.9995228 ]]"
0,57,0.9999777314761013,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [1.         1.         1.         ... 0.99952835 0.999546   0.9995555 ]
 [1.         1.         1.         ... 0.99950564 0.99952364 0.99953365]
 [1.         1.         1.         ... 0.9994947  0.9995129  0.9995228 ]]"
0,58,0.9894628004209474,"[[1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 ...
 [1.        1.        1.        ... 0.9999981 0.9999981 0.9999981]
 [1.        1.        1.        ... 0.9999981 0.9999981 0.9999981]
 [1.        1.        1.        ... 0.9999981 0.9999981 0.9999981]]"
0,59,0.7852448301627106,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,60,0.9758607988178343,"[[0.99999994 0.99999994 0.99999994 ... 0.9999995  0.9999995  0.9999995 ]
 [0.99999994 0.99999994 0.99999994 ... 0.9999995  0.9999995  0.9999995 ]
 [0.99999994 0.99999994 0.99999994 ... 0.9999995  0.9999995  0.9999995 ]
 ...
 [0.99995065 0.99991965 0.9999094  ... 0.99987805 0.9998747  0.9998742 ]
 [0.9999498  0.9999183  0.99990785 ... 0.9998754  0.99987197 0.9998713 ]
 [0.9999499  0.9999184  0.999908   ... 0.9998752  0.9998717  0.999871  ]]"
0,61,0.9851864377770895,"[[1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 ...
 [1.        1.        1.        ... 0.999999  0.9999991 0.9999991]
 [1.        1.        1.        ... 0.999999  0.9999991 0.9999991]
 [1.        1.        1.        ... 0.999999  0.9999991 0.9999991]]"
0,62,0.9877156543325298,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [0.999993   0.9999935  0.9999942  ... 0.999993   0.9999929  0.9999929 ]
 [0.9999929  0.9999934  0.99999416 ... 0.99999297 0.9999928  0.9999928 ]
 [0.9999929  0.9999934  0.99999416 ... 0.9999929  0.9999928  0.9999928 ]]"
0,63,0.9999816020059741,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [0.99999976 0.9999985  0.99999803 ... 0.9999971  0.999997   0.999997  ]
 [0.99999976 0.9999985  0.99999803 ... 0.999997   0.9999969  0.9999969 ]
 [0.99999976 0.9999985  0.99999803 ... 0.999997   0.9999969  0.9999969 ]]"
0,64,0.9676301854054956,"[[0.9999997 0.9999997 0.9999997 ... 1.        1.        1.       ]
 [0.9999997 0.9999997 0.9999997 ... 1.        1.        1.       ]
 [0.9999997 0.9999997 0.9999997 ... 1.        1.        1.       ]
 ...
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]]"
